geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
06075020100,2013,"Census Tract 201, San Francisco County, California",5492.0,34323.0,618200.0,1565.0,353.0,80.0,865.0,0.0,0.0,159.0,2499.0,06,075,020100
06075020200,2013,"Census Tract 202, San Francisco County, California",5994.0,62648.0,625000.0,2998.0,485.0,0.0,903.0,18.0,25.0,115.0,1450.0,06,075,020200
06075020300,2013,"Census Tract 203, San Francisco County, California",3138.0,108051.0,806600.0,2078.0,46.0,34.0,378.0,14.0,0.0,127.0,461.0,06,075,020300
06075020401,2013,"Census Tract 204.01, San Francisco County, California",2887.0,126579.0,960400.0,2321.0,127.0,7.0,205.0,0.0,0.0,108.0,119.0,06,075,020401
06075020402,2013,"Census Tract 204.02, San Francisco County, California",4192.0,88639.0,834500.0,2857.0,112.0,0.0,640.0,0.0,0.0,187.0,396.0,06,075,020402
06075020500,2013,"Census Tract 205, San Francisco County, California",2496.0,115417.0,1000001.0,1978.0,12.0,15.0,134.0,0.0,12.0,118.0,227.0,06,075,020500
06075020600,2013,"Census Tract 206, San Francisco County, California",4500.0,117578.0,1000001.0,3341.0,68.0,53.0,365.0,2.0,15.0,121.0,535.0,06,075,020600
06075020700,2013,"Census Tract 207, San Francisco County, California",5731.0,115750.0,876800.0,4215.0,35.0,29.0,475.0,0.0,0.0,315.0,677.0,06,075,020700
06075020800,2013,"Census Tract 208, San Francisco County, California",6673.0,68387.0,884800.0,1945.0,124.0,103.0,847.0,0.0,25.0,98.0,3575.0,06,075,020800
06075020900,2013,"Census Tract 209, San Francisco County, California",4969.0,51510.0,659200.0,1653.0,0.0,70.0,701.0,0.0,8.0,120.0,2487.0,06,075,020900
06075021000,2013,"Census Tract 210, San Francisco County, California",4599.0,106801.0,876400.0,3163.0,1.0,11.0,642.0,0.0,2.0,223.0,568.0,06,075,021000
06075021100,2013,"Census Tract 211, San Francisco County, California",3883.0,105880.0,1000001.0,2699.0,37.0,5.0,358.0,0.0,0.0,62.0,722.0,06,075,021100
06075021200,2013,"Census Tract 212, San Francisco County, California",2738.0,127808.0,1000001.0,2138.0,5.0,0.0,279.0,0.0,0.0,112.0,204.0,06,075,021200
06075021300,2013,"Census Tract 213, San Francisco County, California",2477.0,130357.0,1000001.0,1977.0,0.0,15.0,188.0,0.0,10.0,103.0,184.0,06,075,021300
06075021400,2013,"Census Tract 214, San Francisco County, California",3359.0,125800.0,1000001.0,2373.0,16.0,0.0,483.0,0.0,0.0,80.0,407.0,06,075,021400
06075021500,2013,"Census Tract 215, San Francisco County, California",4958.0,109627.0,974600.0,3176.0,138.0,0.0,628.0,11.0,0.0,114.0,891.0,06,075,021500
06075021600,2013,"Census Tract 216, San Francisco County, California",4149.0,94048.0,880000.0,2324.0,379.0,23.0,792.0,14.0,14.0,94.0,532.0,06,075,021600
06075021700,2013,"Census Tract 217, San Francisco County, California",3762.0,89750.0,853200.0,2109.0,432.0,9.0,761.0,0.0,0.0,174.0,277.0,06,075,021700
06075021800,2013,"Census Tract 218, San Francisco County, California",4133.0,110398.0,917700.0,2898.0,60.0,27.0,375.0,0.0,12.0,215.0,573.0,06,075,021800
06075022600,2013,"Census Tract 226, San Francisco County, California",1743.0,142260.0,689400.0,1031.0,126.0,0.0,438.0,0.0,0.0,29.0,119.0,06,075,022600
06075022702,2013,"Census Tract 227.02, San Francisco County, California",2324.0,147095.0,899400.0,1557.0,60.0,0.0,268.0,0.0,0.0,174.0,265.0,06,075,022702
06075022704,2013,"Census Tract 227.04, San Francisco County, California",3191.0,138472.0,856700.0,2250.0,28.0,10.0,504.0,0.0,51.0,141.0,217.0,06,075,022704
06075022801,2013,"Census Tract 228.01, San Francisco County, California",4760.0,85052.0,664000.0,2256.0,222.0,0.0,554.0,12.0,52.0,160.0,1504.0,06,075,022801
06075022802,2013,"Census Tract 228.02, San Francisco County, California",2262.0,59492.0,823700.0,845.0,91.0,0.0,410.0,0.0,15.0,75.0,826.0,06,075,022802
06075022803,2013,"Census Tract 228.03, San Francisco County, California",5097.0,79735.0,703900.0,1565.0,75.0,21.0,479.0,0.0,8.0,95.0,2875.0,06,075,022803
