geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,B08126_003E,B08126_006E,B08126_008E,B08126_009E,B08126_011E,B08126_012E,B08126_014E,B08126_015E,B06009_005E,B15001_017E,B15001_050E,state,county,tract
06001442200,2012,"Census Tract 4422, Alameda County, California",6616.0,142120.0,912000.0,1562.0,48.0,0.0,4672.0,0.0,56.0,95.0,183.0,120.0,124.0,82.0,222.0,267.0,109.0,91.0,0.0,1387.0,47.0,12.0,06,001,442200
06001442301,2012,"Census Tract 4423.01, Alameda County, California",4764.0,71397.0,555800.0,1257.0,176.0,40.0,2062.0,0.0,0.0,111.0,1118.0,93.0,121.0,79.0,147.0,433.0,241.0,29.0,4.0,684.0,85.0,42.0,06,001,442301
06001442302,2012,"Census Tract 4423.02, Alameda County, California",5054.0,56071.0,481500.0,1368.0,216.0,21.0,2464.0,0.0,0.0,247.0,748.0,55.0,320.0,21.0,117.0,423.0,60.0,44.0,0.0,696.0,133.0,16.0,06,001,442302
06001442400,2012,"Census Tract 4424, Alameda County, California",6918.0,86409.0,482700.0,1811.0,317.0,110.0,2032.0,66.0,0.0,218.0,2409.0,203.0,350.0,82.0,139.0,691.0,145.0,38.0,0.0,756.0,90.0,39.0,06,001,442400
06001442500,2012,"Census Tract 4425, Alameda County, California",7284.0,70506.0,475900.0,2056.0,511.0,16.0,2762.0,67.0,13.0,170.0,1689.0,139.0,401.0,76.0,203.0,523.0,121.0,48.0,0.0,1074.0,100.0,18.0,06,001,442500
06001442601,2012,"Census Tract 4426.01, Alameda County, California",3591.0,90192.0,622700.0,1783.0,113.0,0.0,877.0,0.0,0.0,180.0,638.0,33.0,182.0,55.0,40.0,235.0,82.0,29.0,0.0,714.0,29.0,33.0,06,001,442601
06001442602,2012,"Census Tract 4426.02, Alameda County, California",4886.0,65329.0,697300.0,1931.0,127.0,0.0,1752.0,6.0,91.0,126.0,853.0,124.0,210.0,31.0,100.0,372.0,244.0,35.0,0.0,645.0,77.0,23.0,06,001,442602
06001442700,2012,"Census Tract 4427, Alameda County, California",3035.0,91250.0,600900.0,1565.0,19.0,85.0,720.0,10.0,0.0,117.0,604.0,73.0,82.0,35.0,75.0,304.0,84.0,42.0,0.0,619.0,126.0,17.0,06,001,442700
06001442800,2012,"Census Tract 4428, Alameda County, California",2743.0,75605.0,471800.0,1145.0,73.0,0.0,844.0,0.0,9.0,18.0,654.0,76.0,110.0,59.0,51.0,200.0,103.0,28.0,0.0,370.0,33.0,0.0,06,001,442800
06001442900,2012,"Census Tract 4429, Alameda County, California",7068.0,90445.0,549400.0,2461.0,378.0,59.0,2269.0,35.0,0.0,596.0,1270.0,202.0,517.0,91.0,120.0,506.0,110.0,94.0,0.0,777.0,29.0,75.0,06,001,442900
06001443001,2012,"Census Tract 4430.01, Alameda County, California",3308.0,93693.0,447900.0,930.0,143.0,0.0,885.0,0.0,0.0,167.0,1183.0,41.0,80.0,24.0,120.0,253.0,189.0,46.0,0.0,374.0,38.0,8.0,06,001,443001
06001443002,2012,"Census Tract 4430.02, Alameda County, California",5674.0,74975.0,494000.0,1789.0,53.0,72.0,2156.0,0.0,0.0,117.0,1553.0,83.0,184.0,80.0,103.0,456.0,244.0,86.0,0.0,656.0,47.0,28.0,06,001,443002
06001443102,2012,"Census Tract 4431.02, Alameda County, California",5368.0,139736.0,905500.0,942.0,77.0,73.0,3489.0,70.0,12.0,85.0,693.0,58.0,217.0,120.0,177.0,373.0,76.0,90.0,0.0,1182.0,152.0,18.0,06,001,443102
06001443103,2012,"Census Tract 4431.03, Alameda County, California",4242.0,206444.0,1000001.0,327.0,0.0,26.0,3675.0,0.0,0.0,156.0,58.0,0.0,100.0,46.0,50.0,164.0,4.0,0.0,0.0,1042.0,114.0,57.0,06,001,443103
06001443104,2012,"Census Tract 4431.04, Alameda County, California",5409.0,129386.0,850200.0,1130.0,3.0,25.0,3541.0,28.0,0.0,260.0,426.0,25.0,209.0,45.0,61.0,418.0,117.0,28.0,0.0,937.0,56.0,17.0,06,001,443104
06001443105,2012,"Census Tract 4431.05, Alameda County, California",4568.0,163264.0,999100.0,543.0,91.0,16.0,3516.0,10.0,13.0,379.0,0.0,19.0,83.0,78.0,204.0,181.0,138.0,19.0,0.0,1094.0,38.0,46.0,06,001,443105
06001443200,2012,"Census Tract 4432, Alameda County, California",3775.0,204667.0,1000001.0,660.0,48.0,19.0,2645.0,24.0,58.0,253.0,81.0,17.0,123.0,87.0,15.0,267.0,24.0,22.0,0.0,970.0,139.0,47.0,06,001,443200
06001443301,2012,"Census Tract 4433.01, Alameda County, California",4073.0,140192.0,706700.0,1179.0,12.0,0.0,2341.0,89.0,10.0,227.0,215.0,71.0,129.0,72.0,81.0,330.0,48.0,40.0,0.0,922.0,36.0,12.0,06,001,443301
06001443321,2012,"Census Tract 4433.21, Alameda County, California",3360.0,83964.0,360700.0,591.0,141.0,0.0,2397.0,0.0,0.0,68.0,163.0,68.0,145.0,47.0,143.0,200.0,32.0,27.0,0.0,596.0,55.0,21.0,06,001,443321
06001443322,2012,"Census Tract 4433.22, Alameda County, California",3416.0,133061.0,679100.0,1046.0,250.0,0.0,1793.0,27.0,15.0,51.0,234.0,95.0,73.0,26.0,74.0,232.0,20.0,76.0,0.0,723.0,19.0,3.0,06,001,443322
06001444100,2012,"Census Tract 4441, Alameda County, California",7325.0,95677.0,568400.0,3003.0,161.0,0.0,1544.0,457.0,57.0,274.0,1829.0,188.0,383.0,39.0,160.0,942.0,187.0,72.0,14.0,1002.0,41.0,0.0,06,001,444100
